,tract_id,white_CT,black_CT,asian_CT,hispanic_CT,Under $50K_CT,$50K - $100K_CT,$100K - $200K_CT,Over $200K_CT,Food_CT,Shopping_CT,Work_CT,Health_CT,Religious_CT,Service_CT,Entertainment_CT,Grocery_CT,Education_CT,Arts/Museum_CT,Transportation_CT,Sports_CT,white_inflow_CT,black_inflow_CT,hispanic_inflow_CT,asian_inflow_CT,Under $50K_inflow_CT,$50K - $100K_inflow_CT,$100K - $200K_inflow_CT,Over $200K_inflow_CT,total_population_CT,total_visitors_estimated_CT,total_visitors_received
129,25025120301,0.42168238296628247,0.16554478492710883,0.032764403593884245,0.33088008757882464,0.3322752290838086,0.21948155109404655,0.3393167447553788,0.108926475066766,9.587724417841889,4.180044396587194,2.189501665517488,10.753306352611078,5.47613264352943,24.524009965422334,5.4737541637937195,5.134218679583583,5.274795229345938,4.180044396587194,0.0,0.0,0.2986772658973485,0.3641486869920827,0.283124888394714,0.05404915871585466,0.5054491894798726,0.18505073523053606,0.2345232001010478,0.07497687518854344,12992,10623,10622
130,25025120400,0.7486718835730302,0.04629858161806315,0.054913166722909836,0.09661512342346755,0.25877380347988266,0.19582218449046476,0.309367277449413,0.23603673458023944,9.941487540143408,6.017216207130853,0.0,12.034821740101878,9.570359538925826,14.350247103900116,3.488040439521142,2.2742848795955823,1.4628660507649762,2.0251743887561657,0.0,0.0,0.41274848295667654,0.29906151106795004,0.23512169861674773,0.05306830735862554,0.4229483267140135,0.196614425787729,0.26015834353968725,0.12027890395857015,12212,15974,15973
131,25025120500,0.3902378103607514,0.0751550050691557,0.08406303168134123,0.4235796292831101,0.36058057972774593,0.21173065339610125,0.2864856740073959,0.14120309286875682,40.23004365472652,3.0157938041908734,8.36777686165115,3.0157938041908734,3.0157938041908734,8.36777686165115,18.142506873963942,19.59720407344428,14.245221015984006,7.486284807862088,0.0,0.0,0.2584435745561632,0.3839655704492999,0.2965235992942963,0.061067255700240554,0.5614165846552225,0.17534362272555157,0.19736421064677845,0.06587558197244744,6477,15415,15415
132,25025120600,0.6460973710967265,0.06565206329990542,0.03946868511794189,0.19700186678000417,0.10058710347445825,0.24292188046983956,0.4510234887212024,0.20546752733449963,28.638613124657414,14.678631872874405,0.0,8.685154187586075,10.603917098593149,10.264854995977199,5.132427497988599,4.413776876897206,0.0,12.041218340775938,0.0,0.0,0.38234088543133465,0.27958136533587385,0.27907247204283725,0.05900527718995409,0.4623067506228265,0.19538651521377343,0.24386024601519915,0.09844648814820084,2749,2178,2177
133,25025120700,0.5157024701747932,0.14778870546617842,0.09591609652470576,0.20783882746477228,0.2408660617507512,0.3092999601915134,0.3317911060485101,0.11804287200922518,13.526865793089131,6.763432896544565,0.0,3.381716448272283,0.0,13.380893462839275,3.381716448272283,3.381716448272283,3.381716448272283,3.381716448272283,0.0,0.0,0.3529211640776404,0.299636522528666,0.2733813058751651,0.07406100751852852,0.4908708912001425,0.20692681759873094,0.22145015560168216,0.08075213559944429,2703,3803,3803
134,25025130200,0.8564656723502468,0.024272947846782824,0.04326163588447631,0.047743347134108674,0.2268172440504246,0.13581019459826849,0.4344467961965526,0.20292576515475425,20.374944481508628,8.670244383546395,0.0,9.778972528369055,1.1807346355930528,12.110027688224442,0.735576942349639,2.2635302621539535,3.04271397772147,0.0,0.0,0.0,0.5428047693063242,0.12927965190273685,0.1299695691250644,0.04016199844567818,0.27898504157781934,0.15347230305368262,0.28072222759403,0.1290364165542716,7821,17112,17112
135,25025130300,0.8305220173593709,0.0544880038734831,0.053635164197755575,0.0603065270926042,0.2078082308644237,0.16645648223776255,0.3398306011069975,0.2859046857908162,2.6419640095575563,3.838575555575929,0.0,4.512296134876794,2.960698755892597,5.317427385834809,2.0017427969763872,1.5991771714973797,0.7464661280261832,0.8051312509580143,0.0,0.0,0.3772080234809248,0.09771489248701862,0.09174251898316785,0.028747028776952708,0.1961108040742794,0.1120141341156729,0.19807123164786114,0.08921629389025056,7414,7237,7237
136,25025130402,0.7883801587384422,0.034722954286470716,0.05278364293587136,0.09144731996537686,0.4724302581692328,0.13240126162717888,0.31244275974186825,0.08272572046171998,8.651257820012617,8.014159799089803,1.8772838658885613,3.328026209936463,0.6095779108746665,14.53476274121503,1.625118249301841,1.7029079606346218,1.841859518102168,1.1173480800882538,0.0,0.0,0.49378555992677353,0.24337596813254242,0.21237731025280768,0.050461161687876184,0.3898182868443063,0.19619180051524973,0.30971638251626815,0.10427353012417571,7717,34732,34732
137,25025130404,0.5175278457838853,0.22072843342096748,0.09107110999026709,0.16944723707600304,0.4732420625164973,0.1769889215297394,0.26476498597776765,0.08500402997599557,1.316159301956113,1.8094579811940559,0.0,0.7402090778525138,0.0,3.7010453892625685,0.0,0.7402090778525138,0.7402090778525138,2.54966705904657,0.0,0.0,0.36350072361450303,0.34401754428654596,0.23781533725176254,0.05466639484718836,0.4787704994265388,0.21603975488218027,0.23123977205479906,0.07394997363648188,6665,4654,4654
138,25025130406,0.25457048715734915,0.4667470737661979,0.052198497857838505,0.1939495672194795,0.5541587356222647,0.2650257474747039,0.14964880756589358,0.031166709337137628,1.231176160517709,0.3626964800916743,0.0,1.5556111208062318,3.0042334396424213,1.736959360852069,0.18134824004583716,0.18134824004583716,0.0,1.3742628807603947,0.0,0.0,0.2940938348383967,0.41257782498865964,0.23290090085973608,0.06042743931320745,0.5180595412430836,0.22009318349787624,0.20538969317170672,0.05645758208733336,16481,3515,3515
139,25025140102,0.29723830695231707,0.4667623954598233,0.04157500157623585,0.16416379517190816,0.2521763886357847,0.21926738844018814,0.38670343351396985,0.14185278941005727,0.0,4.839406891086878,0.7906084235374126,1.8077839285329644,2.2850601252900122,4.380360024076587,3.0180450811445176,2.1590425540281606,2.086075252647242,1.011056317436873,0.3223369103877876,0.0,0.2524589927105028,0.4667316771764184,0.23747666030261025,0.043332669810468495,0.46084193696999143,0.20160367136556112,0.2625424048237506,0.07501198684069674,15379,8207,8207
